Date(UTC),UnixTimeStamp,Value,,,
2/27/2021,1614384000,3.01,,,
2/28/2021,1614470400,3.01,,,
3/1/2021,1614556800,3.01,,,
3/2/2021,1614643200,3,,,
3/3/2021,1614729600,3.18,,,
3/4/2021,1614816000,3,,,
3/5/2021,1614902400,3,,,
3/6/2021,1614988800,3,,,
3/7/2021,1615075200,3,,,
3/8/2021,1615161600,3,,,
3/9/2021,1615248000,3,,,
3/10/2021,1615334400,3.01,,,
3/11/2021,1615420800,3,,,
3/12/2021,1615507200,3.01,,,
3/13/2021,1615593600,3.01,,,
3/14/2021,1615680000,3,,,
3/15/2021,1615766400,3,,,
3/16/2021,1615852800,3,,,
3/17/2021,1615939200,3,,,
3/18/2021,1616025600,3,,,
3/19/2021,1616112000,3,,,
3/20/2021,1616198400,3,,,
3/21/2021,1616284800,3,,,
3/22/2021,1616371200,3.04,,,
3/23/2021,1616457600,3.02,,,
3/24/2021,1616544000,3.02,,,
3/25/2021,1616630400,3.03,,,
3/26/2021,1616716800,3.02,,,
3/27/2021,1616803200,3.09,,,
3/28/2021,1616889600,3,,,
3/29/2021,1616976000,3.01,,,
3/30/2021,1617062400,3.01,,,
3/31/2021,1617148800,3.02,,,
4/1/2021,1617235200,3.02,,,
4/2/2021,1617321600,3.03,,,
4/3/2021,1617408000,3.01,,,
4/4/2021,1617494400,3.05,,,
4/5/2021,1617580800,3.06,,,
4/6/2021,1617667200,3.05,,,
4/7/2021,1617753600,3.07,,,
4/8/2021,1617840000,3.13,,,
4/9/2021,1617926400,3.02,,,
4/10/2021,1618012800,3,,,
4/11/2021,1618099200,3,,,
4/12/2021,1618185600,3.01,,,
4/13/2021,1618272000,3,,,
4/14/2021,1618358400,3,,,
4/15/2021,1618444800,3,,,
4/16/2021,1618531200,3.02,,,
4/17/2021,1618617600,3,,,
4/18/2021,1618704000,3,,,
4/19/2021,1618790400,3.02,,,
4/20/2021,1618876800,3.02,,,
4/21/2021,1618963200,3.1,,,
4/22/2021,1619049600,3.07,,,
4/23/2021,1619136000,3.01,,,
4/24/2021,1619222400,3.01,,,
4/25/2021,1619308800,3.01,,,
4/26/2021,1619395200,3.02,,,
4/27/2021,1619481600,3.03,,,
4/28/2021,1619568000,3.01,,,
4/29/2021,1619654400,3.02,,,
4/30/2021,1619740800,3.06,,,
5/1/2021,1619827200,3.02,,,
5/2/2021,1619913600,747.5,,,
5/3/2021,1620000000,3.04,,,
5/4/2021,1620086400,3.01,,,
5/5/2021,1620172800,3.07,,,
5/6/2021,1620259200,3.08,,,
5/7/2021,1620345600,3.06,,,
5/8/2021,1620432000,3.1,,,
5/9/2021,1620518400,3.15,,,
5/10/2021,1620604800,866.41,,,
5/11/2021,1620691200,873.8,,,
5/12/2021,1620777600,3.27,,,
5/13/2021,1620864000,3.06,,,
5/14/2021,1620950400,3.04,,,
5/15/2021,1621036800,3.08,,,
5/16/2021,1621123200,3.04,,,
5/17/2021,1621209600,3.03,,,
5/18/2021,1621296000,3.06,,,
5/19/2021,1621382400,3.04,,,
5/20/2021,1621468800,3.02,,,
5/21/2021,1621555200,3.02,,,
5/22/2021,1621641600,3,,,
5/23/2021,1621728000,3.01,,,
5/24/2021,1621814400,3.01,,,
5/25/2021,1621900800,3.01,,,
5/26/2021,1621987200,3.04,,,
5/27/2021,1622073600,3.02,,,
5/28/2021,1622160000,3.01,,,
5/29/2021,1622246400,3.01,,,
5/30/2021,1622332800,3.01,,,
5/31/2021,1622419200,3.02,,,
6/1/2021,1622505600,3.01,,,
6/2/2021,1622592000,3.01,,,
6/3/2021,1622678400,3.01,,,
6/4/2021,1622764800,3.01,,,
6/5/2021,1622851200,3.01,,,
6/6/2021,1622937600,3.01,,,
6/7/2021,1623024000,3,,,
6/8/2021,1623110400,3.01,,,
6/9/2021,1623196800,3.01,,,
6/10/2021,1623283200,3.01,,,
6/11/2021,1623369600,3.01,,,
6/12/2021,1623456000,3.01,,,
6/13/2021,1623542400,3.03,,,
6/14/2021,1623628800,3.04,,,
6/15/2021,1623715200,3.04,,,
6/16/2021,1623801600,3.02,,,
6/17/2021,1623888000,3.03,,,
6/18/2021,1623974400,3.03,,,
6/19/2021,1624060800,3.02,,,
6/20/2021,1624147200,3,,,
6/21/2021,1624233600,3.01,,,
6/22/2021,1624320000,3.02,,,
6/23/2021,1624406400,3.01,,,
6/24/2021,1624492800,3.01,,,
6/25/2021,1624579200,3.01,,,
6/26/2021,1624665600,3,,,
6/27/2021,1624752000,3.01,,,
6/28/2021,1624838400,3.02,,,
6/29/2021,1624924800,3.02,,,
6/30/2021,1625011200,3.03,,,
7/1/2021,1625097600,3.03,,,
7/2/2021,1625184000,3.04,,,
7/3/2021,1625270400,3.03,,,
7/4/2021,1625356800,3.02,,,
7/5/2021,1625443200,3.03,,,
7/6/2021,1625529600,3.02,,,
7/7/2021,1625616000,3,,,
7/8/2021,1625702400,3,,,
7/9/2021,1625788800,3,,,
7/10/2021,1625875200,3,,,
7/11/2021,1625961600,3,,,
7/12/2021,1626048000,3,,,
7/13/2021,1626134400,3,,,
7/14/2021,1626220800,3,,,
7/15/2021,1626307200,3,,,
7/16/2021,1626393600,3,,,
7/17/2021,1626480000,3,,,
7/18/2021,1626566400,3,,,
7/19/2021,1626652800,3,,,
7/20/2021,1626739200,3,,,
7/21/2021,1626825600,3,,,
7/22/2021,1626912000,3,,,
7/23/2021,1626998400,3.02,,,
7/24/2021,1627084800,3.03,,,
7/25/2021,1627171200,3.03,,,
7/26/2021,1627257600,3.07,,,
7/27/2021,1627344000,3.24,,,
7/28/2021,1627430400,3.23,,,
7/29/2021,1627516800,3.19,,,
7/30/2021,1627603200,3.05,,,
7/31/2021,1627689600,3.07,,,
8/1/2021,1627776000,3.11,,,
8/2/2021,1627862400,3.09,,,
8/3/2021,1627948800,3.18,,,
8/4/2021,1628035200,3.1,,,
8/5/2021,1628121600,3.08,,,
8/6/2021,1628208000,3.11,,,
8/7/2021,1628294400,3.09,,,
8/8/2021,1628380800,3.07,,,
8/9/2021,1628467200,3.06,,,
8/10/2021,1628553600,3.07,,,
8/11/2021,1628640000,3.12,,,
8/12/2021,1628726400,3.05,,,
8/13/2021,1628812800,3.07,,,
8/14/2021,1628899200,3.02,,,
