Date(UTC),UnixTimeStamp,Value
3/3/2021,1614729600,34010
3/4/2021,1614816000,35866
3/5/2021,1614902400,31964
3/6/2021,1614988800,28300
3/7/2021,1615075200,32329
3/8/2021,1615161600,30887
3/9/2021,1615248000,31888
3/10/2021,1615334400,35616
3/11/2021,1615420800,42954
3/12/2021,1615507200,40437
3/13/2021,1615593600,35638
3/14/2021,1615680000,35709
3/15/2021,1615766400,42099
3/16/2021,1615852800,59848
3/17/2021,1615939200,40581
3/18/2021,1616025600,45228
3/19/2021,1616112000,39601
3/20/2021,1616198400,37074
3/21/2021,1616284800,36293
3/22/2021,1616371200,40500
3/23/2021,1616457600,44947
3/24/2021,1616544000,50768
3/25/2021,1616630400,51544
3/26/2021,1616716800,45195
3/27/2021,1616803200,42296
3/28/2021,1616889600,39916
3/29/2021,1616976000,44432
3/30/2021,1617062400,46482
3/31/2021,1617148800,47928
4/1/2021,1617235200,54464
4/2/2021,1617321600,61346
4/3/2021,1617408000,57674
4/4/2021,1617494400,62340
4/5/2021,1617580800,65727
4/6/2021,1617667200,58446
4/7/2021,1617753600,65717
4/8/2021,1617840000,81006
4/9/2021,1617926400,71113
4/10/2021,1618012800,74133
4/11/2021,1618099200,70810
4/12/2021,1618185600,81493
4/13/2021,1618272000,73495
4/14/2021,1618358400,60707
4/15/2021,1618444800,68172
4/16/2021,1618531200,77841
4/17/2021,1618617600,91102
4/18/2021,1618704000,94787
4/19/2021,1618790400,133335
4/20/2021,1618876800,192632
4/21/2021,1618963200,248930
4/22/2021,1619049600,161032
4/23/2021,1619136000,142692
4/24/2021,1619222400,151841
4/25/2021,1619308800,133561
4/26/2021,1619395200,151766
4/27/2021,1619481600,151348
4/28/2021,1619568000,129351
4/29/2021,1619654400,141971
4/30/2021,1619740800,128346
5/1/2021,1619827200,126344
5/2/2021,1619913600,143664
5/3/2021,1620000000,155291
5/4/2021,1620086400,133537
5/5/2021,1620172800,147957
5/6/2021,1620259200,169411
5/7/2021,1620345600,173182
5/8/2021,1620432000,145370
5/9/2021,1620518400,172008
5/10/2021,1620604800,176195
5/11/2021,1620691200,171362
5/12/2021,1620777600,169271
5/13/2021,1620864000,155067
5/14/2021,1620950400,176086
5/15/2021,1621036800,160340
5/16/2021,1621123200,133046
5/17/2021,1621209600,125793
5/18/2021,1621296000,126059
5/19/2021,1621382400,149410
5/20/2021,1621468800,136702
5/21/2021,1621555200,106799
5/22/2021,1621641600,76752
5/23/2021,1621728000,95512
5/24/2021,1621814400,73535
5/25/2021,1621900800,68044
5/26/2021,1621987200,66728
5/27/2021,1622073600,82480
5/28/2021,1622160000,68794
5/29/2021,1622246400,60165
5/30/2021,1622332800,55449
5/31/2021,1622419200,58862
6/1/2021,1622505600,63256
6/2/2021,1622592000,65117
6/3/2021,1622678400,62630
6/4/2021,1622764800,60986
6/5/2021,1622851200,60293
6/6/2021,1622937600,53720
6/7/2021,1623024000,63667
6/8/2021,1623110400,56233
6/9/2021,1623196800,53667
6/10/2021,1623283200,54339
6/11/2021,1623369600,53629
6/12/2021,1623456000,47702
6/13/2021,1623542400,48326
6/14/2021,1623628800,51966
6/15/2021,1623715200,55491
6/16/2021,1623801600,58293
6/17/2021,1623888000,58673
6/18/2021,1623974400,57744
6/19/2021,1624060800,48115
6/20/2021,1624147200,44131
6/21/2021,1624233600,55734
6/22/2021,1624320000,58426
6/23/2021,1624406400,52018
6/24/2021,1624492800,46529
6/25/2021,1624579200,49059
6/26/2021,1624665600,40370
